State,voting_index
Wyoming,42
West Virginia,39
Oklahoma,36
North Dakota,36
Idaho,35
South Dakota,32
Kentucky,32
Arkansas,32
Texas,31
Alabama,31
Tennessee,30
Utah,29
Nebraska,29
Louisiana,28
Montana,27
Kansas,27
Indiana,27
Missouri,26
Mississippi,25
Alaska,25
South Carolina,24
Ohio,22
Iowa,22
North Carolina,19
Georgia,19
Florida,19
Arizona,19
Wisconsin,18
Pennsylvania,18
Michigan,17
New Hampshire,16
Nevada,16
Minnesota,15
Maine,15
Virginia,14
New Mexico,13
Colorado,13
Oregon,10
New Jersey,10
Delaware,10
Illinois,9
Connecticut,9
Washington,8
Rhode Island,8
New York,6
Massachusetts,2
Maryland,2
California,2
Vermont,1
Hawaii,1
