State,safetyScore
Minnesota,64.4300
Vermont,64.3200
Maine,62.5300
Utah,62.4800
Connecticut,61.4900
New Hampshire,61.1900
Iowa,60.8500
Hawaii,60.2900
Massachusetts,58.9800
Wyoming,57.3100
Washington,56.7600
Indiana,56.6600
Virginia,56.1700
Oregon,54.7800
Maryland,54.6500
Rhode Island,54.5600
Wisconsin,54.3900
North Carolina,53.4900
Idaho,52.9800
Nevada,52.9400
Kentucky,52.8700
New York,52.0100
Delaware,51.9100
Nebraska,51.8900
New Jersey,51.7600
Arizona,51.4700
New Mexico,51.3300
North Dakota,51.1900
Michigan,50.8100
California,49.2600
West Virginia,48.2500
Illinois,47.6400
Pennsylvania,47.2400
Ohio,47.0400
Alaska,46.6800
Colorado,45.3600
Georgia,45.0600
South Carolina,44.7700
Kansas,44.7300
Tennessee,44.5800
South Dakota,44.1700
Montana,42.9500
Missouri,42.0900
Oklahoma,40.3700
Alabama,39.9100
Texas,38.8400
Arkansas,38.4900
Florida,36.4200
Louisiana,34.5400
Mississippi,33.1100
